state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,ankle_angle,ankle_velocity,ankle_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,slack,temperature,heel_fsr,toe_fsr,did_slip,gen_var1,gen_var2,gen_var3
703.782,0.004996059999939462,0.020751953125,1.002685546875,-0.07373046875,-2.4427480916030535,0.366412213740458,1.282442748091603,30607,3,65,-0.43994140625,18.375578782918076,0.14249926549513434,False,,False,,20779,,172,35,1,1,False,,,
703.787,0.009997951999821453,0.017822265625,1.000244140625,-0.0751953125,-2.4122137404580153,0.5801526717557252,1.3740458015267174,30607,-3,63,-0.43994140625,16.546461693311127,0.13811467271066866,False,,False,,20779,,172,36,1,1,False,,,
703.792,0.014999048999925435,0.018798828125,1.003173828125,-0.076904296875,-2.5343511450381677,0.183206106870229,1.282442748091603,30608,3,-357,-0.41796875,14.125257578233276,-0.782608827847496,False,,False,,20794,,186,36,1,1,False,,,
703.797,0.020001682999918557,-0.2626953125,1.19873046875,-0.2578125,-7.3893129770992365,6.870229007633587,22.564885496183205,30278,-1838,-7988,-0.41796875,11.61419770370194,-17.51114654578655,False,,False,,20794,,516,36,1,1,False,,,
703.802,0.02500294599985864,-0.607421875,0.62353515625,-0.156982421875,-6.931297709923664,11.053435114503817,-10.015267175572518,29449,-3780,-3941,-0.505859375,8.80594594541122,-8.641197638432077,False,,False,,20732,,1283,36,1,1,False,,,
703.807,0.030004856999994445,0.201171875,0.9765625,-0.076416015625,-0.7022900763358778,-38.3206106870229,-6.931297709923664,28525,-4078,-471,-0.57177734375,5.326630481388119,-1.0328961368305585,False,,False,,20686,,2161,35,1,1,False,,,
703.812,0.035006379999913406,0.614013671875,0.747314453125,-0.13671875,-4.061068702290076,10.839694656488549,2.748091603053435,27600,-4066,-75,-0.48388671875,2.1377176229536055,-0.16443945211311498,False,,False,,20748,,3148,35,1,1,False,,,
703.817,0.040008901999954105,0.201904296875,0.99853515625,-0.013671875,-1.0687022900763359,21.893129770992367,-4.488549618320611,26692,-3978,47,-0.5498046875,0.09728715364011548,0.10306491644127787,False,,False,,20701,,4009,35,1,0,False,,,
703.822,0.04501047999997354,0.254638671875,1.073486328125,0.077392578125,-1.099236641221374,16.671755725190838,-3.969465648854962,25807,-3883,191,-0.59375,-1.5721893903473525,0.41888215823163877,False,,False,,20670,,4863,35,1,1,False,,,
703.827,0.05001316999982919,0.169189453125,0.951416015625,0.055908203125,-1.3435114503816794,15.022900763358779,-4.641221374045801,24953,-3744,293,-0.6376953125,-3.310924120729283,0.6426457159467608,False,,False,,20639,,5686,36,1,1,False,,,
703.832,0.05501493299993854,0.237060546875,0.995361328125,-0.03955078125,0.732824427480916,26.748091603053435,-9.34351145038168,24140,-3544,355,-0.74755859375,-5.130913069794938,0.7788361771739438,False,,False,,20562,,6422,36,1,1,False,,,
703.837,0.06001752899987878,0.03369140625,1.005859375,-0.09228515625,2.748091603053435,27.755725190839694,-9.648854961832061,23385,-3295,398,-0.857421875,-7.386350388902508,0.8734028825590523,False,,False,,20484,,7099,35,1,1,False,,,
703.842,0.06501923699988765,-0.139404296875,1.018798828125,-0.163818359375,6.412213740458015,15.358778625954198,-11.633587786259541,22684,-3061,407,-0.857421875,-9.56336214597955,0.89315319899883,False,,False,,20484,,7800,35,1,1,False,,,
703.847,0.07002181499979088,-0.197265625,1.0478515625,-0.142578125,3.7557251908396947,13.98473282442748,-11.206106870229007,22031,-2854,401,-0.96728515625,-11.073903768519527,0.8802169419750226,False,,False,,20406,,8375,35,1,1,False,,,
703.852,0.07502355999986321,-0.34423828125,1.005615234375,-0.1640625,-4.488549618320611,-2.1374045801526718,-3.2061068702290076,21416,-2687,413,-0.9892578125,-12.123913684360195,0.9066051141932367,False,,False,,20391,,8975,35,1,1,False,,,
703.857,0.0800259529999039,-0.250732421875,1.00732421875,-0.191162109375,-3.8167938931297707,-4.091603053435114,-1.7404580152671756,20838,-2526,425,-1.01123046875,-12.529439017109947,0.9329960513705137,False,,False,,20375,,9537,35,1,1,False,3,,
703.862,0.08502803099986522,-0.080810546875,1.052734375,-0.159423828125,-4.0,-5.923664122137405,1.5877862595419847,20300,-2349,392,-1.033203125,-12.136018006918581,0.8605967585477966,False,,False,,20360,,10060,35,1,1,False,3,,
703.867,0.09003055299990592,0.009765625,1.00439453125,-0.1201171875,-3.633587786259542,-3.847328244274809,2.564885496183206,19806,-2153,611,-1.01123046875,-11.085282447575365,1.3413190291467856,False,,False,,20375,,10569,35,1,1,False,3,,
703.8720000000001,0.09503211299988834,0.635498046875,0.830810546875,0.021484375,-2.6564885496183206,3.5114503816793894,-15.17557251908397,19613,-534,5351,-1.05517578125,-9.609129438963226,11.748200606828147,False,,False,,20344,,10731,35,1,1,False,3,,
703.8770000000001,0.10003409899991311,0.19189453125,1.331787109375,0.020751953125,-5.587786259541985,1.5877862595419847,10.961832061068701,19749,616,1907,-1.09912109375,-8.331746687253316,4.187285998262062,False,,False,,20313,,10564,36,1,1,False,3,,
703.8820000000001,0.10503515799996421,-0.42919921875,0.864501953125,-0.105224609375,-2.9923664122137406,4.977099236641221,-2.1068702290076335,19910,716,347,-1.033203125,-7.107948169449434,0.7618037633063404,False,,False,,20360,,10450,36,1,1,False,3,,
